"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-01","2024","01","01","","-1.7","","-5.4","","-3.6","","21.6","","0.0","","","","","","0.4","","","","29","","40",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-02","2024","01","02","","0.3","","-6.1","","-2.9","","20.9","","0.0","","","","","","0.0","","","","27","","34",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-03","2024","01","03","","-0.5","","-4.8","","-2.7","","20.7","","0.0","","","","","","0.0","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-04","2024","01","04","","0.6","","-2.2","","-0.8","","18.8","","0.0","","","","","","0.8","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-05","2024","01","05","","-0.5","","-9.8","","-5.1","","23.1","","0.0","","","","","","0.4","","1","","29","","68",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-06","2024","01","06","","-5.3","","-10.7","","-8.0","","26.0","","0.0","","","","","","0.0","","1","","29","","70",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-07","2024","01","07","","-1.7","","-10.0","","-5.9","","23.9","","0.0","","","","","","0.0","","1","","4","","56",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-08","2024","01","08","","-2.1","","-4.6","","-3.3","","21.3","","0.0","","","","","","0.0","","","","31","","61",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-09","2024","01","09","","-3.3","","-9.0","","-6.1","","24.1","","0.0","","","","","","0.0","","","","30","","63",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-10","2024","01","10","","6.6","","-8.4","","-0.9","","18.9","","0.0","","","","","","3.6","","","","12","","90",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-11","2024","01","11","","6.6","","-0.2","","3.2","","14.8","","0.0","","","","","","0.0","","","","30","","34",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-12","2024","01","12","","-0.2","","-4.5","","-2.3","","20.3","","0.0","","","","","","0.2","","","","29","","57",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-13","2024","01","13","","6.4","","-7.1","","-0.4","","18.4","","0.0","","","","","","0.0","","","","13","","96",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-14","2024","01","14","","7.5","","-0.6","","3.4","","14.6","","0.0","","","","","","0.3","","","","15","","67",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-15","2024","01","15","","0.8","","-4.8","","-2.0","","20.0","","0.0","","","","","","0.0","","","","29","","58",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-16","2024","01","16","","6.5","","-3.9","","1.3","","16.7","","0.0","","","","","","4.1","","","","13","","54",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-17","2024","01","17","","7.6","","-6.3","","0.7","","17.3","","0.0","","","","","","0.0","","","","29","","68",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-18","2024","01","18","","-3.8","","-8.4","","-6.1","","24.1","","0.0","","","","","","0.0","","","","28","","70",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-19","2024","01","19","","-2.7","","-8.9","","-5.8","","23.8","","0.0","","","","","","0.0","","","","28","","63",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-20","2024","01","20","","-1.0","","-7.2","","-4.1","","22.1","","0.0","","","","","","0.8","","0","","28","","45",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-21","2024","01","21","","-0.9","","-5.0","","-2.9","","20.9","","0.0","","","","","","0.1","","2","","32","","53",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-22","2024","01","22","","0.7","","-11.0","","-5.1","","23.1","","0.0","","","","","","0.0","","4","","28","","47",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-23","2024","01","23","","1.1","","-8.0","","-3.4","","21.4","","0.0","","","","","","0.0","","3","","34","","63",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-24","2024","01","24","","-2.1","","-12.4","","-7.2","","25.2","","0.0","","","","","","0.0","","2","","19","","45",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-25","2024","01","25","","","M","","M","","M","","M","","M","","","","","","M","2","","","M","","M"
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-26","2024","01","26","","-1.8","","-5.1","","-3.5","","21.5","","0.0","","","","","","1.0","","3","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-27","2024","01","27","","-0.8","","-3.1","","-1.9","","19.9","","0.0","","","","","","1.2","","4","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-28","2024","01","28","","-0.6","","-3.6","","-2.1","","20.1","","0.0","","","","","","0.0","","7","","28","","33",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-29","2024","01","29","","-1.2","","-6.2","","-3.7","","21.7","","0.0","","","","","","3.9","","12","","2","","73",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-30","2024","01","30","","-4.4","","-6.3","","-5.3","","23.3","","0.0","","","","","","0.0","","21","","2","","64",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-01-31","2024","01","31","","-4.2","","-8.2","","-6.2","","24.2","","0.0","","","","","","0.0","","18","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-01","2024","02","01","","1.0","","-7.9","","-3.5","","21.5","","0.0","","","","","","0.0","","17","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-02","2024","02","02","","-0.2","","-1.7","","-0.9","","18.9","","0.0","","","","","","5.1","","17","","2","","47",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-03","2024","02","03","","-1.7","","-3.5","","-2.6","","20.6","","0.0","","","","","","7.1","","22","","1","","61",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-04","2024","02","04","","-0.9","","-3.1","","-2.0","","20.0","","0.0","","","","","","16.1","","20","","2","","65",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-05","2024","02","05","","0.0","","-0.9","","-0.5","","18.5","","0.0","","","","","","0.6","","54","","2","","60",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-06","2024","02","06","","-0.2","","-2.0","","-1.1","","19.1","","0.0","","","","","","0.2","","49","","2","","41",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-07","2024","02","07","","-1.6","","-3.2","","-2.4","","20.4","","0.0","","","","","","0.1","","47","","2","","36",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-08","2024","02","08","","-0.6","","-3.4","","-2.0","","20.0","","0.0","","","","","","0.0","","45","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-09","2024","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-10","2024","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-11","2024","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-12","2024","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-13","2024","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-14","2024","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-15","2024","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-16","2024","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-17","2024","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-18","2024","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-19","2024","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-20","2024","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-21","2024","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-22","2024","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-23","2024","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-24","2024","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-25","2024","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-26","2024","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-27","2024","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-28","2024","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-02-29","2024","02","29","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-01","2024","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-02","2024","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-03","2024","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-04","2024","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-05","2024","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-06","2024","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-07","2024","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-08","2024","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-09","2024","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-10","2024","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-11","2024","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-12","2024","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-13","2024","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-14","2024","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-15","2024","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-16","2024","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-17","2024","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-18","2024","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-19","2024","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-20","2024","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-21","2024","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-22","2024","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-23","2024","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-24","2024","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-25","2024","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-26","2024","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-27","2024","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-28","2024","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-29","2024","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-30","2024","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-03-31","2024","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-01","2024","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-02","2024","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-03","2024","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-04","2024","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-05","2024","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-06","2024","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-07","2024","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-08","2024","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-09","2024","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-10","2024","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-11","2024","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-12","2024","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-13","2024","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-14","2024","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-15","2024","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-16","2024","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-17","2024","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-18","2024","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-19","2024","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-20","2024","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-21","2024","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-22","2024","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-23","2024","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-24","2024","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-25","2024","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-26","2024","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-27","2024","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-28","2024","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-29","2024","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-04-30","2024","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-01","2024","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-02","2024","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-03","2024","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-04","2024","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-05","2024","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-06","2024","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-07","2024","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-08","2024","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-09","2024","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-10","2024","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-11","2024","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-12","2024","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-13","2024","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-14","2024","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-15","2024","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-16","2024","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-17","2024","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-18","2024","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-19","2024","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-20","2024","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-21","2024","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-22","2024","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-23","2024","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-24","2024","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-25","2024","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-26","2024","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-27","2024","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-28","2024","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-29","2024","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-30","2024","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-05-31","2024","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-01","2024","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-02","2024","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-03","2024","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-04","2024","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-05","2024","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-06","2024","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-07","2024","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-08","2024","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-09","2024","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-10","2024","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-11","2024","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-12","2024","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-13","2024","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-14","2024","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-15","2024","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-16","2024","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-17","2024","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-18","2024","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-19","2024","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-20","2024","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-21","2024","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-22","2024","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-23","2024","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-24","2024","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-62.68","45.77","CARIBOU POINT (AUT)","8200774","2024-06-25","2024","06","25","","","","","","","","","","","","","","","","","","","","","","",""
